Mw,Repi,dip,mech,depth,vs30,sdrop,ev_nation_code,stn,u,v,w,psa_01_u,psa_04_u,psa_07_u,psa_100_u,psa_01_v,psa_04_v,psa_07_v,psa_100_v
4.1,78.6,50,NF,9.0,433.659784,24.953197271742695,IT,GUMA,0.689684,0.544273,-0.377366,0.69342,0.728111,0.8889879999999999,1.12496,0.377796,0.434018,0.654341,0.72993
4.1,4.7,50,NF,9.0,742.104917,24.953197271742695,IT,RM02,23.447411,35.125196,9.017242,23.4972,31.4314,48.2698,70.2143,9.01763,18.803,21.649,31.6044
4.1,11.7,50,NF,9.0,827.425475,24.953197271742695,IT,RM06,-15.901405,-12.327548,5.661407,15.9017,18.194000000000006,34.248000000000005,44.1703,5.66736,10.3985,15.6375,19.6422
4.1,150.4,50,NF,9.0,426.771071,26.773429190944697,IT,SENI,0.450996,-0.499678,-0.116075,0.45264,0.6449060000000001,0.523504,0.609582,0.116752,0.125341,0.157228,0.189691
4.1,1.6,50,NF,9.0,345.440083,24.58328975128685,IT,AQU,-43.898209,34.507754,31.748546,43.9155,66.7811,100.755,113.884,32.6601,117.253,38.8343,31.2979
4.3,195.2,50,TF,20.35,433.659784,24.58328975128685,IT,CAR1,-0.055216,-0.061373,0.023247,0.055446,0.061447,0.06104,0.114909,0.023292,0.029144,0.048523,0.085984
4.3,13.3,50,TF,20.35,426.771071,24.58328975128685,IT,ECHR,-2.305778,-2.384814,-1.34197,2.30592,2.34028,2.36435,3.76896,1.342,1.40325,1.94811,3.74887
4.3,20.4,50,TF,20.35,416.779587,24.58328975128685,IT,ENIC,-2.110063,-2.424457,1.252764,2.12161,2.3141700000000003,4.51665,6.54169,1.26651,1.62142,4.3741,3.21565
4.3,21.2,50,TF,20.35,866.0013710000001,24.58328975128685,IT,EVRN,1.963142,2.377155,1.083103,1.96595,2.11896,2.61099,4.92159,1.08312,1.18562,1.6085200000000002,3.44326
4.3,72.3,50,TF,20.35,839.7484380000001,24.58328975128685,IT,HVZN,0.4722810000000001,-0.571507,-0.391154,0.476425,0.541231,0.981444,1.40659,0.393051,0.462698,1.08638,0.8991100000000001
4.3,71.2,50,TF,20.35,345.440083,24.064342492887132,IT,ILLI,0.371135,0.4253770000000001,-0.31311500000000003,0.371554,0.385651,0.4951,0.6138100000000001,0.313442,0.320868,0.32129,0.612847
4.3,63.6,50,TF,20.35,433.659784,24.064342492887132,IT,IVPL,-0.5307609999999999,-0.467279,-0.22716,0.530764,0.554516,0.64432,1.05396,0.227568,0.294028,0.414226,0.529884
4.3,72.7,50,TF,20.35,426.771071,24.064342492887132,IT,SSY,0.8256209999999999,0.81196,-0.5956140000000001,0.832209,1.07119,2.4407400000000004,2.42824,0.5999979999999999,0.804192,1.41795,1.98094
4.3,102.8,50,NF,8.3,796.378812,24.064342492887132,IT,ACER,0.276933,-0.23545700000000006,0.15045899999999998,0.276949,0.27810100000000004,0.280964,0.293688,0.150568,0.153178,0.159946,0.175849
4.3,66.1,50,NF,8.3,351.53349,24.064342492887132,IT,BULG,0.350405,-0.61338,0.182235,0.350577,0.364423,0.41726,0.536626,0.182455,0.186611,0.20715100000000006,0.221431
4.3,148.2,50,NF,8.3,866.0013710000001,24.064342492887132,IT,CAFE,0.053097000000000005,-0.036488,-0.024921,0.0531,0.054537,0.055797,0.055657000000000005,0.024945,0.025377,0.027583,0.025652
