Mw,Repi,dip,mech,depth,vs30,sdrop,ev_nation_code,stn,u,v,w,psa_01_u,psa_04_u,psa_07_u,psa_100_u,psa_01_v,psa_04_v,psa_07_v,psa_100_v,psa_50_v,psa_50_u,psa_1_v,psa_1_u,psa_2_v,psa_2_u
3.8,15.1,50,NF,11.1,354.620494,23.55635008470179,IT,BZZ,-3.4863199999999996,2.3690330000000004,1.8262169999999998,2.38451,3.44339,6.27961,8.04242,1.83325,3.16381,4.03249,6.23315,2.53841,1.4081700000000001,0.416332,0.47910699999999995,0.06790399999999999,0.104028
3.8,36.7,50,NF,10.9,323.583038,23.55635008470179,IT,FOCC,-1.325364,1.966145,-0.9365979999999999,1.98139,2.50319,5.12311,7.297110000000001,0.949237,3.00237,3.35129,2.04095,0.548221,1.5613,0.22414,0.608038,0.06205,0.111884
3.7,14.6,50,NF,10.5,648.473604,23.059081272511172,IT,RM08,6.88581,8.375171,-3.0692459999999997,8.502839999999999,16.2038,32.5937,20.095,3.07067,7.00185,9.85545,10.8323,1.03549,2.1951400000000003,0.313247,0.5498649999999999,0.067074,0.123241
3.7,17.8,50,NF,8.2,948.926942,23.059081272511172,IT,T1215,0.994475,1.058581,-0.8296040000000001,1.06549,1.67226,2.651,2.48749,0.831557,0.926871,1.31445,2.0550200000000003,0.756486,0.729817,0.6409819999999999,0.665126,0.157908,0.158921
3.6,31.7,50,TF,10.0,757.570653,22.57230968381608,IT,ROVR,-2.8451009999999997,8.326402,1.6622270000000001,8.32835,8.838280000000003,10.9667,17.1858,1.66248,2.25912,3.3787300000000005,3.4289400000000003,0.9396959999999999,2.48749,0.18624200000000002,0.4814890000000001,0.035179,0.137722
3.8,15.8,50,NF,10.9,763.091692,23.55635008470179,IT,RQT,46.174237,24.176632,-14.019360999999998,24.4083,32.0193,62.334,135.61700000000002,14.0409,33.5632,47.7937,65.7303,1.50545,3.31186,0.537461,0.769874,0.122029,0.180628
3.8,15.8,50,NF,11.1,1013.90379,23.55635008470179,IT,MI01,6.378977,-5.514236,2.719408,5.54217,6.8739300000000005,7.319889999999999,13.139,2.73233,4.392519999999998,8.16968,12.3157,1.1911200000000002,2.06993,0.20783000000000001,0.33766999999999997,0.054929,0.086406
3.7,23.3,50,NF,10.7,587.932291,23.059081272511172,IT,MCV,-6.6332960000000005,4.2291739999999995,-3.278549,4.24686,10.4338,12.7554,16.4938,3.3970800000000003,14.1583,10.7295,10.7744,0.981506,0.869173,0.208711,0.218029,0.06250700000000001,0.059713
3.8,16.5,50,SS,11.04,667.182731,23.55635008470179,IT,LPR1,6.765983,5.309334,6.479525,5.32731,9.219,21.0619,18.6964,6.51504,9.83668,22.443,17.088,1.6842700000000002,2.0963700000000003,0.6641130000000001,0.98795,0.07484099999999999,0.19319
3.7,31.9,50,TF,4.03,335.154491,23.059081272511172,IT,T0817,-1.105585,-0.7087439999999999,0.695513,0.709101,0.790248,1.2997,1.7130299999999998,0.699583,1.33691,1.93182,2.22018,0.302323,1.82929,0.145669,0.687732,0.074616,0.346403
3.7,19.3,50,NF,10.7,425.634317,23.059081272511172,IT,T1201,11.912945,20.099872,13.395026000000001,20.1542,21.9264,26.8489,49.7662,13.4292,15.0837,24.3739,28.2967,5.3528199999999995,16.5886,0.956061,2.45002,0.24163099999999998,0.538992
3.9,22.5,50,TF,8.72,366.944627,24.06434249288713,IT,T0814,2.217828,-1.670322,-3.117355,1.6703400000000002,2.37669,4.0036,6.25011,3.20333,5.53178,9.82073,5.6877,0.745204,3.01036,0.373577,1.05315,0.07198099999999999,0.141735
3.8,12.2,50,NF,11.1,902.158142,23.55635008470179,IT,RM06,16.827669,8.628153,6.900394,8.75751,15.0549,21.7092,21.6606,6.94882,10.3643,17.76,14.8366,4.48816,5.27515,1.1249799999999999,1.16477,0.19181600000000001,0.288806
3.8,24.6,50,NF,6.78,437.099343,23.55635008470179,IT,FIN0,-6.670014999999999,-7.671297,-4.511067,7.6895,8.10092,9.59796,16.0143,4.57336,9.95331,14.3359,11.4802,0.9179430000000001,5.4739900000000015,0.27031900000000003,1.31054,0.13181500000000002,0.258709
3.8,20.9,50,NF,10.9,429.228641,23.55635008470179,IT,SNO,-6.33331,4.250871,-2.452868,4.29081,7.46594,8.52873,8.92721,2.47796,5.55775,5.89255,6.17074,3.4159900000000003,2.947,0.8754799999999999,0.69662,0.198935,0.08899
3.9,93.8,50,TF,9.5,791.610279,24.06434249288713,IT,BORM,-0.609406,0.63239,0.575249,0.632653,0.91419,2.3601400000000003,1.91894,0.5816479999999999,0.97656,2.91623,1.84935,0.25514699999999996,0.246864,0.036897000000000006,0.038508,0.010846,0.00687
3.9,72.3,50,NF,6.7,509.46582699999993,24.06434249288713,IT,MMUR,-0.921325,0.882928,-0.514191,0.89575,1.41798,2.26757,2.02102,0.520241,1.46674,1.1635799999999998,1.31429,0.263644,0.46242,0.075879,0.0962,0.01457,0.019996
3.9,85.5,50,NF,6.7,868.999685,24.06434249288713,IT,CLN,0.10295599999999999,0.11708199999999999,-0.08018600000000001,0.117094,0.131793,0.134475,0.217811,0.080224,0.084846,0.12626400000000002,0.186438,0.087315,0.123849,0.040184,0.044398,0.014494,0.018056
